year,teryt_code,powiat,gmina,population,eligible_to_vote,turnout_%,turnout_ppl
2011,020101,bolesławiecki,Miasto Bolesławiec,39 253,32 669,"48,70",15 301
2011,020102,bolesławiecki,Gmina Bolesławiec,13 458,10 560,"39,90",3 961
2011,020103,bolesławiecki,Gmina Gromadka,5 555,4 480,"39,62",1 628
2011,020104,bolesławiecki,Gmina Nowogrodziec,15 148,11 907,"32,82",3 622
2011,020105,bolesławiecki,Gmina Osiecznica,6 881,5 283,"38,27",1 862
2011,020106,bolesławiecki,Gmina Warta Bolesławiecka,8 268,6 557,"36,50",2 221
2011,020201,dzierżoniowski,Miasto Bielawa,31 447,26 107,"42,72",10 552
2011,020202,dzierżoniowski,Miasto Dzierżoniów,34 109,28 756,"48,05",13 253
2011,020203,dzierżoniowski,Miasto Pieszyce,9 439,7 781,"39,29",2 918
2011,020204,dzierżoniowski,Miasto Piława Górna,6 655,5 386,"38,60",1 930
2011,020205,dzierżoniowski,Gmina Dzierżoniów,9 383,7 732,"40,21",2 908
2011,020206,dzierżoniowski,Gmina Łagiewniki,7 565,6 177,"37,82",2 179
2011,020207,dzierżoniowski,Gmina Niemcza,5 898,4 844,"39,16",1 789
2011,020301,głogowski,Miasto Głogów,68 372,55 592,"51,11",27 049
2011,020302,głogowski,Gmina Głogów,6 248,4 872,"48,05",2 185
2011,020303,głogowski,Gmina Jerzmanowa,4 098,3 101,"51,02",1 485
2011,020304,głogowski,Gmina Kotla,4 298,3 314,"36,42",1 092
2011,020305,głogowski,Gmina Pęcław,2 345,1 789,"36,95",604
2011,020306,głogowski,Gmina Żukowice,3 504,2 783,"37,73",982
2011,020401,górowski,Gmina Góra,20 964,16 498,"37,19",5 746
2011,020402,górowski,Gmina Jemielno,3 165,2 525,"31,21",723
2011,020403,górowski,Gmina Niechlów,5 120,4 002,"31,46",1 119
2011,020404,górowski,Gmina Wąsosz,7 554,5 910,"33,65",1 834
2011,020501,jaworski,Miasto Jawor,24 281,20 097,"45,08",8 658
2011,020502,jaworski,Gmina Bolków,10 980,8 940,"38,85",3 261
2011,020503,jaworski,Gmina Męcinka,4 875,3 857,"35,36",1 299
2011,020504,jaworski,Gmina Mściwojów,4 134,3 291,"40,78",1 232
2011,020505,jaworski,Gmina Paszowice,3 971,3 195,"36,46",1 075
2011,020506,jaworski,Gmina Wądroże Wielkie,4 109,3 232,"37,41",1 141
2011,020601,jeleniogórski,Miasto Karpacz,4 778,4 429,"49,76",2 106
2011,020602,jeleniogórski,Miasto Kowary,11 460,9 642,"44,22",4 012
2011,020603,jeleniogórski,Miasto Piechowice,6 434,5 353,"46,57",2 380
2011,020604,jeleniogórski,Miasto Szklarska Poręba,6 681,5 860,"46,77",2 640
2011,020605,jeleniogórski,Gmina Janowice Wielkie,4 206,3 596,"41,05",1 351
2011,020606,jeleniogórski,Gmina Jeżów Sudecki,6 708,5 409,"45,29",2 324
2011,020607,jeleniogórski,Gmina Mysłakowice,10 065,8 164,"42,70",3 298
2011,020608,jeleniogórski,Gmina Podgórzyn,7 905,6 569,"42,97",2 686
2011,020609,jeleniogórski,Gmina Stara Kamienica,5 243,4 243,"38,89",1 525
2011,020701,kamiennogórski,Miasto Kamienna Góra,20 733,17 045,"45,33",7 310
2011,020702,kamiennogórski,Gmina Kamienna Góra,8 995,6 909,"43,12",2 802
2011,020703,kamiennogórski,Gmina Lubawka,11 640,9 349,"44,82",3 971
2011,020704,kamiennogórski,Gmina Marciszów,4 684,3 730,"39,03",1 358
2011,020801,kłodzki,Miasto Duszniki-Zdrój,4 916,4 358,"45,25",1 896
2011,020802,kłodzki,Miasto Kłodzko,27 601,23 475,"48,13",10 815
2011,020803,kłodzki,Miasto Kudowa-Zdrój,10 225,8 734,"47,96",3 993
2011,020804,kłodzki,Miasto Nowa Ruda,23 826,19 832,"42,60",8 022
2011,020805,kłodzki,Miasto Polanica-Zdrój,6 586,6 013,"50,04",2 877
2011,020806,kłodzki,Gmina Bystrzyca Kłodzka,19 551,16 279,"40,74",6 248
2011,020807,kłodzki,Gmina Kłodzko,17 294,13 869,"41,47",5 350
2011,020808,kłodzki,Gmina Lądek-Zdrój,8 697,7 578,"43,31",3 085
2011,020809,kłodzki,Gmina Lewin Kłodzki,1 950,1 631,"34,58",542
2011,020810,kłodzki,Gmina Międzylesie,7 602,6 202,"38,02",2 213
2011,020811,kłodzki,Gmina Nowa Ruda,12 316,10 008,"38,82",3 637
2011,020812,kłodzki,Gmina Radków,9 398,7 620,"37,97",2 710
2011,020813,kłodzki,Gmina Stronie Śląskie,7 501,6 214,"39,81",2 308
2011,020814,kłodzki,Gmina Szczytna,7 425,6 023,"37,84",2 153
2011,020901,legnicki,Miasto Chojnów,13 991,11 545,"40,81",4 483
2011,020902,legnicki,Gmina Chojnów,9 352,7 570,"34,54",2 436
2011,020903,legnicki,Gmina Krotoszyce,3 106,2 496,"43,11",1 011
2011,020904,legnicki,Gmina Kunice,5 737,4 574,"48,58",2 100
2011,020905,legnicki,Gmina Legnickie Pole,5 000,3 762,"42,50",1 496
2011,020906,legnicki,Gmina Miłkowice,6 220,5 055,"43,07",2 059
2011,020907,legnicki,Gmina Prochowice,7 509,6 000,"39,52",2 205
2011,020908,legnicki,Gmina Ruja,2 753,2 148,"33,05",672
2011,021001,lubański,Miasto Lubań,22 039,18 341,"45,41",7 946
2011,021002,lubański,Miasto Świeradów-Zdrój,4 454,3 866,"44,57",1 638
2011,021003,lubański,Gmina Leśna,10 547,8 374,"38,62",3 032
2011,021004,lubański,Gmina Lubań,6 505,5 165,"39,52",1 892
2011,021005,lubański,Gmina Olszyna,6 609,5 360,"38,92",1 956
2011,021006,lubański,Gmina Platerówka,1 659,1 315,"42,51",512
2011,021007,lubański,Gmina Siekierczyn,4 634,4 069,"43,62",1 665
2011,021101,lubiński,Miasto Lubin,74 258,60 930,"52,00",30 252
