year,elections,teryt_code,powiat,gmina,political_party,n_votes,percentage
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Ruch Patriotyczny,273,2.13
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Polska Partia Pracy,88,0.69
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Liga Polskich Rodzin,799,6.24
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Partii Demokratycznej-demokraci.pl,1307,10.21
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Socjaldemokracji Polskiej,352,2.75
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Prawo i Sprawiedliwość,2723,21.27
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Sojusz Lewicy Demokratycznej,2262,17.67
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Platforma Obywatelska RP,3539,27.64
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Polskiej Partii Narodowej,24,0.19
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,187,1.46
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Centrum,32,0.25
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Platformy Janusza Korwin-Mikke,255,1.99
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,785,6.13
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Dom Ojczysty,159,1.24
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Narodowego Odrodzenia Polski,18,0.14
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Ruch Patriotyczny,38,1.33
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Polska Partia Pracy,8,0.28
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Liga Polskich Rodzin,221,7.74
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Partii Demokratycznej-demokraci.pl,378,13.24
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Socjaldemokracji Polskiej,64,2.24
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,622,21.78
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Sojusz Lewicy Demokratycznej,263,9.21
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Platforma Obywatelska RP,534,18.70
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Polskiej Partii Narodowej,5,0.18
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,112,3.92
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Centrum,11,0.39
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Platformy Janusza Korwin-Mikke,55,1.93
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,500,17.51
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Dom Ojczysty,38,1.33
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Narodowego Odrodzenia Polski,7,0.25
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Ruch Patriotyczny,13,0.93
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Polska Partia Pracy,13,0.93
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Liga Polskich Rodzin,110,7.90
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Partii Demokratycznej-demokraci.pl,112,8.04
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Socjaldemokracji Polskiej,56,4.02
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,245,17.59
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Sojusz Lewicy Demokratycznej,157,11.27
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Platforma Obywatelska RP,302,21.68
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Polskiej Partii Narodowej,2,0.14
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,115,8.26
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Centrum,2,0.14
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Platformy Janusza Korwin-Mikke,18,1.29
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,237,17.01
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Dom Ojczysty,6,0.43
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Narodowego Odrodzenia Polski,5,0.36
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Ruch Patriotyczny,31,0.99
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Polska Partia Pracy,41,1.31
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Liga Polskich Rodzin,370,11.82
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Partii Demokratycznej-demokraci.pl,168,5.37
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Socjaldemokracji Polskiej,68,2.17
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,757,24.19
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Sojusz Lewicy Demokratycznej,257,8.21
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Platforma Obywatelska RP,541,17.28
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Polskiej Partii Narodowej,10,0.32
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,200,6.39
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Centrum,13,0.42
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Platformy Janusza Korwin-Mikke,94,3.00
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,534,17.06
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Dom Ojczysty,36,1.15
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Narodowego Odrodzenia Polski,10,0.32
2007,sejm,020105,bolesławiecki,"Osiecznica, gm.",Komitet Wyborczy Ruch Patriotyczny,21,1.49
2007,sejm,020105,bolesławiecki,"Osiecznica, gm.",Komitet Wyborczy Polska Partia Pracy,17,1.20
2007,sejm,020105,bolesławiecki,"Osiecznica, gm.",Komitet Wyborczy Liga Polskich Rodzin,148,10.47
2007,sejm,020105,bolesławiecki,"Osiecznica, gm.",Komitet Wyborczy Partii Demokratycznej-demokraci.pl,102,7.22
2007,sejm,020105,bolesławiecki,"Osiecznica, gm.",Komitet Wyborczy Socjaldemokracji Polskiej,29,2.05
2007,sejm,020105,bolesławiecki,"Osiecznica, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,263,18.61
2007,sejm,020105,bolesławiecki,"Osiecznica, gm.",Komitet Wyborczy Sojusz Lewicy Demokratycznej,225,15.92
2007,sejm,020105,bolesławiecki,"Osiecznica, gm.",Komitet Wyborczy Platforma Obywatelska RP,290,20.52
2007,sejm,020105,bolesławiecki,"Osiecznica, gm.",Komitet Wyborczy Polskiej Partii Narodowej,4,0.28
2007,sejm,020105,bolesławiecki,"Osiecznica, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,44,3.11
2007,sejm,020105,bolesławiecki,"Osiecznica, gm.",Komitet Wyborczy Centrum,5,0.35
2007,sejm,020105,bolesławiecki,"Osiecznica, gm.",Komitet Wyborczy Platformy Janusza Korwin-Mikke,34,2.41
2007,sejm,020105,bolesławiecki,"Osiecznica, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,215,15.22
2007,sejm,020105,bolesławiecki,"Osiecznica, gm.",Komitet Wyborczy Dom Ojczysty,14,0.99
2007,sejm,020105,bolesławiecki,"Osiecznica, gm.",Komitet Wyborczy Narodowego Odrodzenia Polski,2,0.14
2007,sejm,020106,bolesławiecki,"Warta Bolesławiecka, gm.",Komitet Wyborczy Ruch Patriotyczny,13,0.71
2007,sejm,020106,bolesławiecki,"Warta Bolesławiecka, gm.",Komitet Wyborczy Polska Partia Pracy,14,0.76
2007,sejm,020106,bolesławiecki,"Warta Bolesławiecka, gm.",Komitet Wyborczy Liga Polskich Rodzin,126,6.87
2007,sejm,020106,bolesławiecki,"Warta Bolesławiecka, gm.",Komitet Wyborczy Partii Demokratycznej-demokraci.pl,70,3.82
