year,elections,teryt_code,powiat,gmina,political_party,n_votes,percentage
2011,sejm,020101,bolesławiecki,Miasto Bolesławiec,Lista nr 1 - Komitet Wyborczy Prawo i Sprawiedliwość - Zarejestrowana,3 496,"22,85"
2011,sejm,020101,bolesławiecki,Miasto Bolesławiec,Lista nr 2 - Komitet Wyborczy Polska Jest Najważniejsza - Zarejestrowana,276,"1,80"
2011,sejm,020101,bolesławiecki,Miasto Bolesławiec,Lista nr 3 - Komitet Wyborczy Sojusz Lewicy Demokratycznej - Zarejestrowana,1 815,"11,86"
2011,sejm,020101,bolesławiecki,Miasto Bolesławiec,Lista nr 4 - Komitet Wyborczy Ruch Palikota - Zarejestrowana,1 867,"12,20"
2011,sejm,020101,bolesławiecki,Miasto Bolesławiec,Lista nr 5 - Komitet Wyborczy Polskie Stronnictwo Ludowe - Zarejestrowana,432,"2,82"
2011,sejm,020101,bolesławiecki,Miasto Bolesławiec,Lista nr 6 - Komitet Wyborczy Polska Partia Pracy - Sierpień 80 - Zarejestrowana,79,"0,52"
2011,sejm,020101,bolesławiecki,Miasto Bolesławiec,Lista nr 7 - Komitet Wyborczy Platforma Obywatelska RP - Zarejestrowana,7 336,"47,94"
2011,sejm,020102,bolesławiecki,Gmina Bolesławiec,Lista nr 1 - Komitet Wyborczy Prawo i Sprawiedliwość - Zarejestrowana,1 043,"26,33"
2011,sejm,020102,bolesławiecki,Gmina Bolesławiec,Lista nr 2 - Komitet Wyborczy Polska Jest Najważniejsza - Zarejestrowana,68,"1,72"
2011,sejm,020102,bolesławiecki,Gmina Bolesławiec,Lista nr 3 - Komitet Wyborczy Sojusz Lewicy Demokratycznej - Zarejestrowana,368,"9,29"
2011,sejm,020102,bolesławiecki,Gmina Bolesławiec,Lista nr 4 - Komitet Wyborczy Ruch Palikota - Zarejestrowana,464,"11,71"
2011,sejm,020102,bolesławiecki,Gmina Bolesławiec,Lista nr 5 - Komitet Wyborczy Polskie Stronnictwo Ludowe - Zarejestrowana,359,"9,06"
2011,sejm,020102,bolesławiecki,Gmina Bolesławiec,Lista nr 6 - Komitet Wyborczy Polska Partia Pracy - Sierpień 80 - Zarejestrowana,27,"0,68"
2011,sejm,020102,bolesławiecki,Gmina Bolesławiec,Lista nr 7 - Komitet Wyborczy Platforma Obywatelska RP - Zarejestrowana,1 632,"41,20"
2011,sejm,020103,bolesławiecki,Gmina Gromadka,Lista nr 1 - Komitet Wyborczy Prawo i Sprawiedliwość - Zarejestrowana,513,"31,51"
2011,sejm,020103,bolesławiecki,Gmina Gromadka,Lista nr 2 - Komitet Wyborczy Polska Jest Najważniejsza - Zarejestrowana,21,"1,29"
2011,sejm,020103,bolesławiecki,Gmina Gromadka,Lista nr 3 - Komitet Wyborczy Sojusz Lewicy Demokratycznej - Zarejestrowana,158,"9,71"
2011,sejm,020103,bolesławiecki,Gmina Gromadka,Lista nr 4 - Komitet Wyborczy Ruch Palikota - Zarejestrowana,182,"11,18"
2011,sejm,020103,bolesławiecki,Gmina Gromadka,Lista nr 5 - Komitet Wyborczy Polskie Stronnictwo Ludowe - Zarejestrowana,169,"10,38"
2011,sejm,020103,bolesławiecki,Gmina Gromadka,Lista nr 6 - Komitet Wyborczy Polska Partia Pracy - Sierpień 80 - Zarejestrowana,8,"0,49"
2011,sejm,020103,bolesławiecki,Gmina Gromadka,Lista nr 7 - Komitet Wyborczy Platforma Obywatelska RP - Zarejestrowana,577,"35,44"
2011,sejm,020104,bolesławiecki,Gmina Nowogrodziec,Lista nr 1 - Komitet Wyborczy Prawo i Sprawiedliwość - Zarejestrowana,1 048,"28,93"
2011,sejm,020104,bolesławiecki,Gmina Nowogrodziec,Lista nr 2 - Komitet Wyborczy Polska Jest Najważniejsza - Zarejestrowana,70,"1,93"
2011,sejm,020104,bolesławiecki,Gmina Nowogrodziec,Lista nr 3 - Komitet Wyborczy Sojusz Lewicy Demokratycznej - Zarejestrowana,299,"8,26"
2011,sejm,020104,bolesławiecki,Gmina Nowogrodziec,Lista nr 4 - Komitet Wyborczy Ruch Palikota - Zarejestrowana,425,"11,73"
2011,sejm,020104,bolesławiecki,Gmina Nowogrodziec,Lista nr 5 - Komitet Wyborczy Polskie Stronnictwo Ludowe - Zarejestrowana,430,"11,87"
2011,sejm,020104,bolesławiecki,Gmina Nowogrodziec,Lista nr 6 - Komitet Wyborczy Polska Partia Pracy - Sierpień 80 - Zarejestrowana,25,"0,69"
2011,sejm,020104,bolesławiecki,Gmina Nowogrodziec,Lista nr 7 - Komitet Wyborczy Platforma Obywatelska RP - Zarejestrowana,1 325,"36,58"
2011,sejm,020105,bolesławiecki,Gmina Osiecznica,Lista nr 1 - Komitet Wyborczy Prawo i Sprawiedliwość - Zarejestrowana,416,"22,34"
2011,sejm,020105,bolesławiecki,Gmina Osiecznica,Lista nr 2 - Komitet Wyborczy Polska Jest Najważniejsza - Zarejestrowana,38,"2,04"
2011,sejm,020105,bolesławiecki,Gmina Osiecznica,Lista nr 3 - Komitet Wyborczy Sojusz Lewicy Demokratycznej - Zarejestrowana,234,"12,57"
2011,sejm,020105,bolesławiecki,Gmina Osiecznica,Lista nr 4 - Komitet Wyborczy Ruch Palikota - Zarejestrowana,287,"15,41"
2011,sejm,020105,bolesławiecki,Gmina Osiecznica,Lista nr 5 - Komitet Wyborczy Polskie Stronnictwo Ludowe - Zarejestrowana,126,"6,77"
2011,sejm,020105,bolesławiecki,Gmina Osiecznica,Lista nr 6 - Komitet Wyborczy Polska Partia Pracy - Sierpień 80 - Zarejestrowana,10,"0,54"
2011,sejm,020105,bolesławiecki,Gmina Osiecznica,Lista nr 7 - Komitet Wyborczy Platforma Obywatelska RP - Zarejestrowana,751,"40,33"
2011,sejm,020106,bolesławiecki,Gmina Warta Bolesławiecka,Lista nr 1 - Komitet Wyborczy Prawo i Sprawiedliwość - Zarejestrowana,609,"27,42"
2011,sejm,020106,bolesławiecki,Gmina Warta Bolesławiecka,Lista nr 2 - Komitet Wyborczy Polska Jest Najważniejsza - Zarejestrowana,44,"1,98"
2011,sejm,020106,bolesławiecki,Gmina Warta Bolesławiecka,Lista nr 3 - Komitet Wyborczy Sojusz Lewicy Demokratycznej - Zarejestrowana,245,"11,03"
2011,sejm,020106,bolesławiecki,Gmina Warta Bolesławiecka,Lista nr 4 - Komitet Wyborczy Ruch Palikota - Zarejestrowana,253,"11,39"
2011,sejm,020106,bolesławiecki,Gmina Warta Bolesławiecka,Lista nr 5 - Komitet Wyborczy Polskie Stronnictwo Ludowe - Zarejestrowana,163,"7,34"
2011,sejm,020106,bolesławiecki,Gmina Warta Bolesławiecka,Lista nr 6 - Komitet Wyborczy Polska Partia Pracy - Sierpień 80 - Zarejestrowana,12,"0,54"
2011,sejm,020106,bolesławiecki,Gmina Warta Bolesławiecka,Lista nr 7 - Komitet Wyborczy Platforma Obywatelska RP - Zarejestrowana,895,"40,30"
2011,sejm,020201,dzierżoniowski,Miasto Bielawa,Lista nr 1 - Komitet Wyborczy Prawo i Sprawiedliwość - Zarejestrowana,2 484,"23,54"
2011,sejm,020201,dzierżoniowski,Miasto Bielawa,Lista nr 2 - Komitet Wyborczy Polska Jest Najważniejsza - Zarejestrowana,429,"4,07"
2011,sejm,020201,dzierżoniowski,Miasto Bielawa,Lista nr 3 - Komitet Wyborczy Sojusz Lewicy Demokratycznej - Zarejestrowana,914,"8,66"
2011,sejm,020201,dzierżoniowski,Miasto Bielawa,Lista nr 4 - Komitet Wyborczy Ruch Palikota - Zarejestrowana,1 623,"15,38"
2011,sejm,020201,dzierżoniowski,Miasto Bielawa,Lista nr 5 - Komitet Wyborczy Polskie Stronnictwo Ludowe - Zarejestrowana,213,"2,02"
