year,teryt_code,powiat,gmina,population,eligible_to_vote,turnout_%,turnout_ppl
2007,020101,bolesławiecki,"Bolesławiec, m.",40560,33759,55.17,18617
2007,020102,bolesławiecki,"Bolesławiec, gm.",12829,9885,45.62,4510
2007,020103,bolesławiecki,"Gromadka, gm.",5692,4377,46.79,2048
2007,020104,bolesławiecki,"Nowogrodziec, gm.",15033,11576,40.44,4681
2007,020105,bolesławiecki,"Osiecznica, gm.",6885,5201,44.38,2308
2007,020106,bolesławiecki,"Warta Bolesławiecka, gm.",7977,6285,43.21,2715
2007,020201,dzierżoniowski,"Bielawa, m.",32209,26459,48.24,12758
2007,020202,dzierżoniowski,"Dzierżoniów, m.",35300,29680,53.47,15873
2007,020203,dzierżoniowski,"Pieszyce, m.",9606,7801,45.05,3511
2007,020204,dzierżoniowski,"Piława Górna, m.",6746,5331,45.83,2441
2007,020205,dzierżoniowski,"Dzierżoniów, gm.",9482,7756,46.42,3600
2007,020206,dzierżoniowski,"Łagiewniki, gm.",7540,6058,43.83,2655
2007,020207,dzierżoniowski,"Niemcza, gm.",6092,4946,45.41,2246
2007,020301,głogowski,"Głogów, m.",70154,56980,57.08,32513
2007,020302,głogowski,"Głogów, gm.",5740,4291,51.39,2205
2007,020303,głogowski,"Jerzmanowa, gm.",3491,2583,49.28,1273
2007,020304,głogowski,"Kotla, gm.",4149,3187,41.61,1326
2007,020305,głogowski,"Pęcław, gm.",2361,1791,44.95,805
2007,020306,głogowski,"Żukowice, gm.",3628,2741,40.28,1104
2007,020401,górowski,"Góra, gm.",21244,16425,44.23,7264
2007,020402,górowski,"Jemielno, gm.",3242,2474,38.60,955
2007,020403,górowski,"Niechlów, gm.",5175,3909,40.29,1575
2007,020404,górowski,"Wąsosz, gm.",7610,5843,38.71,2262
2007,020501,jaworski,"Jawor, m.",24882,20254,51.13,10356
2007,020502,jaworski,"Bolków, gm.",11145,8958,43.28,3877
2007,020503,jaworski,"Męcinka, gm.",4832,3775,42.36,1599
2007,020504,jaworski,"Mściwojów, gm.",4138,3270,46.76,1529
2007,020505,jaworski,"Paszowice, gm.",3887,3105,41.58,1291
2007,020506,jaworski,"Wądroże Wielkie, gm.",4113,3210,38.35,1231
2007,020601,jeleniogórski,"Karpacz, m.",4986,4419,55.26,2442
2007,020602,jeleniogórski,"Kowary, m.",11916,9850,49.21,4848
2007,020603,jeleniogórski,"Piechowice, m.",6642,5485,54.07,2966
2007,020604,jeleniogórski,"Szklarska Poręba, m.",7062,6060,53.94,3269
2007,020605,jeleniogórski,"Janowice Wielkie, gm.",4187,3511,48.50,1702
2007,020606,jeleniogórski,"Jeżów Sudecki, gm.",6336,4986,49.82,2484
2007,020607,jeleniogórski,"Mysłakowice, gm.",10023,8024,48.95,3926
2007,020608,jeleniogórski,"Podgórzyn, gm.",7843,6468,49.64,3211
2007,020609,jeleniogórski,"Stara Kamienica, gm.",5180,4123,44.89,1851
2007,020701,kamiennogórski,"Kamienna Góra, m.",21858,17742,49.54,8788
2007,020702,kamiennogórski,"Kamienna Góra, gm.",8818,6718,46.41,3118
2007,020703,kamiennogórski,"Lubawka, gm.",11861,9480,47.87,4535
2007,020704,kamiennogórski,"Marciszów, gm.",4801,3782,42.15,1594
2007,020801,kłodzki,"Duszniki-Zdrój, m.",5141,4394,50.05,2199
2007,020802,kłodzki,"Kłodzko, m.",28739,24544,52.65,12919
2007,020803,kłodzki,"Kudowa-Zdrój, m.",10407,8581,50.45,4329
2007,020804,kłodzki,"Nowa Ruda, m.",24831,20505,46.88,9612
2007,020805,kłodzki,"Polanica-Zdrój, m.",6759,5875,52.75,3097
2007,020806,kłodzki,"Bystrzyca Kłodzka, gm.",20174,16650,46.83,7797
2007,020807,kłodzki,"Kłodzko, gm.",17417,13827,46.63,6448
2007,020808,kłodzki,"Lądek-Zdrój, gm.",9042,7784,47.46,3691
2007,020809,kłodzki,"Lewin Kłodzki, gm.",1996,1635,40.98,670
2007,020810,kłodzki,"Międzylesie, gm.",7786,6228,43.91,2735
2007,020811,kłodzki,"Nowa Ruda, gm.",12592,10119,43.63,4415
2007,020812,kłodzki,"Radków, gm.",9495,7627,42.82,3265
2007,020813,kłodzki,"Stronie Śląskie, gm.",7721,6233,47.09,2935
2007,020814,kłodzki,"Szczytna, gm.",7449,6020,42.87,2581
2007,020901,legnicki,"Chojnów, m.",14379,11786,49.11,5778
2007,020902,legnicki,"Chojnów, gm.",9376,7359,43.21,3179
2007,020903,legnicki,"Krotoszyce, gm.",3005,2363,46.34,1095
2007,020904,legnicki,"Kunice, gm.",5240,4097,54.65,2238
2007,020905,legnicki,"Legnickie Pole, gm.",4942,3893,47.60,1853
2007,020906,legnicki,"Miłkowice, gm.",6108,4903,48.17,2359
2007,020907,legnicki,"Prochowice, gm.",7476,5927,51.93,3078
2007,020908,legnicki,"Ruja, gm.",2756,2144,35.49,761
2007,021001,lubański,"Lubań, m.",22721,18741,51.68,9684
2007,021002,lubański,"Świeradów-Zdrój, m.",4592,3874,48.37,1874
2007,021003,lubański,"Leśna, gm.",10866,8480,43.87,3720
2007,021004,lubański,"Lubań, gm.",6551,5061,43.63,2208
2007,021005,lubański,"Olszyna, gm.",6870,5447,45.27,2463
2007,021006,lubański,"Platerówka, gm.",1713,1308,45.34,593
2007,021007,lubański,"Siekierczyn, gm.",4621,4051,48.33,1958
2007,021101,lubiński,"Lubin, m.",76863,62855,57.94,36397
2007,021102,lubiński,"Lubin, gm.",11603,9068,50.43,4571
2007,021103,lubiński,"Rudna, gm.",7252,5682,48.08,2732
2007,021104,lubiński,"Ścinawa, gm.",10618,8440,47.77,4031
2007,021201,lwówecki,"Gryfów Śląski, gm.",10398,8332,46.10,3840
2007,021202,lwówecki,"Lubomierz, gm.",6167,4922,43.60,2146
2007,021203,lwówecki,"Lwówek Śląski, gm.",17975,14340,47.49,6809
2007,021204,lwówecki,"Mirsk, gm.",9214,7374,42.12,3105
2007,021205,lwówecki,"Wleń, gm.",4562,3768,46.20,1741
2007,021301,milicki,"Cieszków, gm.",4762,3679,47.02,1730
2007,021302,milicki,"Krośnice, gm.",8058,6323,42.59,2693
2007,021303,milicki,"Milicz, gm.",24318,19085,52.93,10096
