year,elections,teryt_code,powiat,gmina,political_party,n_votes,percentage
2007,sejm,020201,dzierżoniowski,"Bielawa, m.",Komitet Wyborczy Polska Partia Pracy,174,1.39
2007,sejm,020201,dzierżoniowski,"Bielawa, m.",Komitet Wyborczy Liga Polskich Rodzin,101,0.81
2007,sejm,020201,dzierżoniowski,"Bielawa, m.",Komitet Wyborczy Prawo i Sprawiedliwość,3193,25.46
2007,sejm,020201,dzierżoniowski,"Bielawa, m.",Komitet Wyborczy Platforma Obywatelska RP,5912,47.13
2007,sejm,020201,dzierżoniowski,"Bielawa, m.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,392,3.13
2007,sejm,020201,dzierżoniowski,"Bielawa, m.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,136,1.08
2007,sejm,020201,dzierżoniowski,"Bielawa, m.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,2635,21.01
2007,sejm,020202,dzierżoniowski,"Dzierżoniów, m.",Komitet Wyborczy Polska Partia Pracy,163,1.04
2007,sejm,020202,dzierżoniowski,"Dzierżoniów, m.",Komitet Wyborczy Liga Polskich Rodzin,124,0.79
2007,sejm,020202,dzierżoniowski,"Dzierżoniów, m.",Komitet Wyborczy Prawo i Sprawiedliwość,4054,25.99
2007,sejm,020202,dzierżoniowski,"Dzierżoniów, m.",Komitet Wyborczy Platforma Obywatelska RP,7879,50.51
2007,sejm,020202,dzierżoniowski,"Dzierżoniów, m.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,555,3.56
2007,sejm,020202,dzierżoniowski,"Dzierżoniów, m.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,179,1.15
2007,sejm,020202,dzierżoniowski,"Dzierżoniów, m.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,2645,16.96
2007,sejm,020203,dzierżoniowski,"Pieszyce, m.",Komitet Wyborczy Polska Partia Pracy,40,1.17
2007,sejm,020203,dzierżoniowski,"Pieszyce, m.",Komitet Wyborczy Liga Polskich Rodzin,31,0.91
2007,sejm,020203,dzierżoniowski,"Pieszyce, m.",Komitet Wyborczy Prawo i Sprawiedliwość,1011,29.58
2007,sejm,020203,dzierżoniowski,"Pieszyce, m.",Komitet Wyborczy Platforma Obywatelska RP,1565,45.79
2007,sejm,020203,dzierżoniowski,"Pieszyce, m.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,151,4.42
2007,sejm,020203,dzierżoniowski,"Pieszyce, m.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,84,2.46
2007,sejm,020203,dzierżoniowski,"Pieszyce, m.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,536,15.68
2007,sejm,020204,dzierżoniowski,"Piława Górna, m.",Komitet Wyborczy Polska Partia Pracy,48,2.04
2007,sejm,020204,dzierżoniowski,"Piława Górna, m.",Komitet Wyborczy Liga Polskich Rodzin,44,1.87
2007,sejm,020204,dzierżoniowski,"Piława Górna, m.",Komitet Wyborczy Prawo i Sprawiedliwość,696,29.57
2007,sejm,020204,dzierżoniowski,"Piława Górna, m.",Komitet Wyborczy Platforma Obywatelska RP,1033,43.88
2007,sejm,020204,dzierżoniowski,"Piława Górna, m.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,109,4.63
2007,sejm,020204,dzierżoniowski,"Piława Górna, m.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,53,2.25
2007,sejm,020204,dzierżoniowski,"Piława Górna, m.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,371,15.76
2007,sejm,020205,dzierżoniowski,"Dzierżoniów, gm.",Komitet Wyborczy Polska Partia Pracy,40,1.14
2007,sejm,020205,dzierżoniowski,"Dzierżoniów, gm.",Komitet Wyborczy Liga Polskich Rodzin,67,1.91
2007,sejm,020205,dzierżoniowski,"Dzierżoniów, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,1128,32.21
2007,sejm,020205,dzierżoniowski,"Dzierżoniów, gm.",Komitet Wyborczy Platforma Obywatelska RP,1263,36.07
2007,sejm,020205,dzierżoniowski,"Dzierżoniów, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,352,10.05
2007,sejm,020205,dzierżoniowski,"Dzierżoniów, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,116,3.31
2007,sejm,020205,dzierżoniowski,"Dzierżoniów, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,536,15.31
2007,sejm,020206,dzierżoniowski,"Łagiewniki, gm.",Komitet Wyborczy Polska Partia Pracy,47,1.83
2007,sejm,020206,dzierżoniowski,"Łagiewniki, gm.",Komitet Wyborczy Liga Polskich Rodzin,47,1.83
2007,sejm,020206,dzierżoniowski,"Łagiewniki, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,834,32.49
2007,sejm,020206,dzierżoniowski,"Łagiewniki, gm.",Komitet Wyborczy Platforma Obywatelska RP,925,36.03
2007,sejm,020206,dzierżoniowski,"Łagiewniki, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,318,12.39
2007,sejm,020206,dzierżoniowski,"Łagiewniki, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,102,3.97
2007,sejm,020206,dzierżoniowski,"Łagiewniki, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,294,11.45
2007,sejm,020207,dzierżoniowski,"Niemcza, gm.",Komitet Wyborczy Polska Partia Pracy,27,1.24
2007,sejm,020207,dzierżoniowski,"Niemcza, gm.",Komitet Wyborczy Liga Polskich Rodzin,38,1.74
2007,sejm,020207,dzierżoniowski,"Niemcza, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,749,34.29
2007,sejm,020207,dzierżoniowski,"Niemcza, gm.",Komitet Wyborczy Platforma Obywatelska RP,794,36.36
